ieul_企業id,ieul_店舗id,名前,性別,年齢,都道府県,市区町村,住所全部,売却回数,売却検討時期,査定依頼時期,売出時期,売却時期,引渡時期,査定価格,販売価格,値下げしたかどうか,売り出してから何ヶ月後に値下げしたか,値下げ価格,成約価格,媒介契約の形態,見出し,売却理由,売却時に不安だったこと,この会社に決めた理由,不動産会社の対応満足度,不動産会社の対応満足度の理由,今後売却する人へのアドバイス,不動産会社に改善してほしい点,物件種別
18,21,小林 聡,男性,44,神奈川県,横浜市南区,通町4丁目,3回以上,2019-02-01,2019-03-15,2019-03-18,2019-11-15,2019-11-15,23800000,23800000,0,,,23000000,3,担当者の熱意,4,きっかけは、父が前年に死亡し、母をそのまま一人で静岡においておくには不安であったため。査定価格よりかなり低い価格でしか引き合いがなかったら、と考えたら少し不安でした。,新しく購入するマンションの購入会社の方からの推薦で、売却した不動産屋に決めました。,5,毎月の販売活動状況報告やこちらが値下げを提案しても、最初の価格を下げずに販売まで至った。また、最初から決済まで非常に真摯に取り組んで頂いた。,販売会社の担当者に尽きると思います。担当者が、信頼できる方か見極められると、希望額より高い金額で販売できたり、早く買い手を見つけてもらえると思います。,社内コミュニケーションですかね。担当者には、値下げ可能を伝えていましたが、他の従業員の方にそれが伝わっていなかった。,戸建て
19,22,上原 太郎,男性,42,東京都,足立区,花畑2丁目,初めて,2019-01-01,2019-02-01,2019-02-01,2019-11-08,2020-01-30,19800000,19800000,1,1,300000,19300000,1,担当の方の人柄が決めてでした！,99,老後の事を考えて、住み替えを進めたが、48歳からローンがスタートし、返済できるかが不安だったので、残債を返済し、手元に残したかった。,東横線物件に強かったので、きっと良いお客がみつかるだろうと思いました。また、仲介手数料の割引サービスがあったこと。,4,中々売却が決まらない中でもこまめに報告を頂いたり、清掃をして頂いたりと気持ちよく対応頂きました。最終的に買主様への住宅ローンの提案が契約に結びついた事が大きいです。,条件も大事ですが、この人なら任せても良いという担当者を見つける事が最も重要なポイントだと思います。,特にありません。,マンション
20,23,桑田 瑛,男性,52,神奈川県,小田原市,扇町3丁目,2回め,2019-01-10,2019-02-11,2019-02-18,2019-04-22,2019-05-03,19800000,19300000,0,,,19000000,1,担当者の熱意がよかった,4,両親が亡くなり売却しましたが、売り出しから意外と時間がかかった気がします。時期が悪かったのかもしれません。,かなり積極的に対応してくれ、買い手探しも手広くやってくれましたのでこちらでお願いさせて頂きました。,5,契約前にもかかわらず、写真を撮るときの荷物の移動など手伝ってくれたり、キレイに写る工夫を凝らしていただけた。私がかならず売ってみせますという意気込みがひしひしと伝わってきて、この人に任せれば大丈夫だろうという気にさせてくれました。,なかなか無い機会ですので判断に迷うと思いますが、断りの電話をした時に今問い合わせがあったところですというのは何処も同じです。,特にありません。,土地
21,24,林 敏明,男性,59,埼玉県,さいたま市岩槻区,大字古ケ場2丁目,3回以上,2019-01-15,2019-02-01,2019-02-20,2019-09-20,2019-09-30,11000000,14000000,1,4,2000000,10500000,2,担当者の方の雰囲気がこちらと合っていたのかなと思います。,5,定年退職をきっかけに老後のことを考えて、駅近一戸建てへの住み替えのために売却を検討していました。家や庭のメンテナンスを考えると、転居の日までに売却できるか大変不安でした。,丁寧な対応、分かりやすい説明、知らないことは持ち帰り後でちゃんと説明してくれる。プライベートな話題を提供してくれて親しみ易い。,4,担当者の方には迅速、丁寧に対応していただきました。他の不動産会社の方は見積もりに来て頂いた初対面なのに、ちょっとフレンドリー過ぎていたり、他の不動産会社と契約したのに売却状況を聞いてきたり、ストレスな会社もありました。その点、契約した不動産会社の担当者の方は多少の世間話はしましたが、必要以上に馴れ合う事もなくて良かったです。,相見積もりはもちろん、不動産会社の実績も大事ですが、最終的には担当者さんの人柄などが自分達に合うがどうかも大切だと思いました。,特にありませんでした。,戸建て
22,25,黒 真,男性,49,東京都,目黒区,駒場2丁目,初めて,2018-10-10,2018-11-10,2018-12-10,2019-03-10,2019-03-30,36000000,36000000,1,1,200000,35800000,2,まかせることが出来ました,1,相続したものの、使用することもなく、固定資産税の負担が重いために売却することにしました。売れないのではないかという不安がありました。,最初に相談した時から売却金額を決める報告書がしっかりしており、信頼できると思い、専任媒介で依頼したのがきっかけでした。また、金額の相談もあったので、満足でした。,4,親切で丁寧だった。こまめにメールで連絡をくれたので、取り残されているような気持ちにはならなかった。ご自身の経験などからも、わかりやすく説明をしてくれたし、全体的にとても丁寧に感じた。,信頼できる人に依頼出来たら、気分が楽です。,収入印紙の領収書をくれなかったことが、何かグレーなものを感じました。,マンション
23,26,吉田 真里子,女性,48,埼玉県,さいたま市緑区,道祖土1丁目,2回め,2019-01-22,2019-02-20,2019-02-27,2019-11-10,2019-12-20,37800000,37800000,1,6,2000000,36000000,2,担当者の接客のよさ,1,相続した家で生活には便利だが土地が狭く、特に駐車スペースに難があり築年数も経っていたために売却を検討した。狭い土地でも売れるかが非常に不安だった。,築年数が古いため、まずは売れるかが心配でした。しかし、業者さんのご協力で売却にたどり着きました。なんといつても、販売実績と積極的アプローチができて大満足。素晴らしい方にめぐりあいました。,5,熱心に売買活動に取り組んでいただけたて親身になって相談に乗っていただきました。他の不動産会社からは必要以上に電話があり、とても嫌気が差していましたが、担当者は必要最低限の連絡で迅速かつ、簡潔に対応していただけた。,特になし。,特になし。,土地
24,27,遠藤 雅俊,男性,50,埼玉県,本庄市,小島6丁目,3回以上,2018-11-01,2019-05-02,2019-06-01,2019-07-01,2019-08-01,15000000,15000000,0,,,15000000,4,担当者の方が丁寧に説明、対応してくれたので不安なく任せられました,2,家を新築したくて。ローンの追い金もあまりしないでいける金額で売却したいと考えていました。,不動産屋さんの代表が女性で話しやすかった事。土地の調査等お任せできて、現地に出向く回数が最小ですんだので助かりました。頂いた周辺地域の相場等はよく理解できましたが、宅地なのか農地なのかの違いがハッキリしませんでした。,4,隣の方への対応もよく、少し時間はかかりましたが、いい対応でした。売却価格も満足しています。ありがとうごさいます。荷物も置いたまま、更地にしてもらえました。,狭い土地だったのに、高く見積もってもらえたのは、大きいです。,隣の人への、対応が遅かったです。,戸建て
25,28,西村 知世,女性,41,東京都,江戸川区,江戸川2丁目,初めて,2019-08-01,2019-08-21,2019-08-24,2019-11-24,2019-12-20,17800000,18800000,1,1,2000000,12500000,1,何事もご縁とタイミング,4,両親が亡くなり、実家が空き家になったため今の家を売却して実家に帰ろうと思いました。残債が返済できるくらいの金額で売れるか心配でしたが、不動産会社さんのおかげで無事に売ることができました。,一番反応の早かった業者に決めました。 家を売却する提案書 もしっかりしていてプレゼンが一番出来ていました。 担当者と電話で話した時も、きっちり話を聞いて質問にも答えてくれたのが決め手です。 加えて売却提示額も高かったです。,4,遣り取りはいつもとても速く迅速でフットワークが軽いのが印象的です。会社勤めで平日昼間はなかなか対応出来ないので、平日の遅い時間や土日での対応にはとても感謝しております。何事もこちらの希望を最大限に考慮して下さりとても助かりました。,不動産売却をする機会は人生で何度もあることではないでしょう。それだけに迷いは必ずあり最適な方法も簡単に分かるものではないと思います。,特になし。,マンション
26,29,前 昭彦,男性,53,東京都,世田谷区,大蔵1丁目,2回め,2019-02-01,2019-03-01,2019-03-01,2019-03-02,2019-04-01,49800000,52800000,0,,,52000000,1,トラブルなしのスムーズ売却,5,ずっとマンションだったので一戸建はちょっと怖いと思いました。,対応が早く、私のマンションの他部屋の仲介実績が二件くらいあった。売却査定理由に納得ができたし、担当の仲介セールスマンが買い手を数人以前から確保してたみたいだから。,4,担当者の動きに無駄がなく、スピーディーかつスムーズに取引が終了しました。反面、担当者のペースに巻き込まれかけてるな、と感じて、その場での決断を迫られたのを「いえいえ、少し考えさせて下さい」と制止した場面もありました。,必ず複数の会社に査定を依頼すること。差定額だけで仲介業者を選ばないこと。,特にありません。,土地
27,30,内海 晃平,男性,62,埼玉県,ふじみ野市,上福岡6丁目,3回以上,2018-10-01,2019-01-13,2019-02-10,2019-03-10,2019-03-25,5000000,5000000,0,,,5000000,4,対応の早さも素晴らしいですが、やはり親切さと丁寧さで決め手でした,3,定年を前に出費を抑えるたかった。売却後の残金と住替えの頭金。,土地売買や土地活用の経験に富んだ地元の知人経由の紹介だったことと、高値でのオファーが来たことが決め手。その他の面倒な交渉も初期の段階から熱心にしてくれ、仲介手数料も割り引いてもらえた。,4,とても丁寧で親切な対応でした。初めてのことなので分からないことも沢山あり、何度も聞いたりすることもあったのですが、その都度丁寧に対応してくれました。他の会社さんからの何度か連絡があったのですが、こちらに決めたのは対応のよさです。,いろんな会社の話を聞いて査定していただくといいかと思います！それぞれの会社が大事にしているところが見えてきます！その大事にしているところが、自分と合っている会社に決めるのがよいかと思います！,一度お断りしている会社に折り返しの電話はちょっと。また、いくらで査定してらったのか？とか聞かれてちょっと嫌な気持ちになりました。,戸建て
28,31,山本 豊,男性,43,神奈川県,横須賀市,田浦町4丁目,初めて,2019-01-08,2019-02-04,2019-02-04,2019-03-01,2019-03-10,16500000,18000000,1,1,1000000,17000000,2,金銭的に一番納得できた。(仲介手数料が一番良心的),1,運送業を営んでいましたが、仕事が順調に回らず、金融会社から多額の借金をしてしまった。なかなか返して行くのが厳しくなり、やむを得ず売却するに至りました。27年間住んだ家を手放し、実家に戻って、また一からやり直せるのかが不安でした。,まず担当者の方の対応が早かったことでした。不安に感じていることやわからないことや、それまでの流れを全て聞いた上で相談に乗っていただけました。こちらが聞いたことには必ず返答があり、心配にならないように対処していただけました。,5,早急な売り出し、顧客へのアピール、地元に根付いた不動産会社で信頼できた。対応が早かった。,妥協する点を出来るだけ絞った方がいいです。幸い、マンションを購入した業者に売却を委託したため、顧客サービスを受けれたのが非常に良かったです。販売手数料の値引数万円ですがこれは決め手のひとつになりました。,顔が見えない電話だけのやりとりでした。そこが一番不満でした。フットワークが重いのはデメリットになると思います。,マンション
